Newly Added,ID,Industry,Code,Alphabet,Numeric,Type ,Segment Name,Display Name,Real Value,Group,Type,Value,New Attribute Name,Rename,Meaning
,258,Surfing,H1.7,H,1.7,Interests,Waterskiing and Wakeboarding,Waterskiing and Wakeboarding,,Hobbies And Activities,Sports,Low,,,
N,115,Walking,D8,D,8,Interests,Walking,Walking,,Fitness And Wellness,Fitness Care,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,Volvo,Volvo,,Automotive,Vehicles,Low,,,
,228,Shopping and fashion,G,G,,Brand Visited,Vicinity Centres Visitors,Vicinity Centres ,,Shopping & Fashion,Shoppers,Low,,,
,273,Volleyball,H2.14,H,2.14,Interests,Volleyball,Volleyball,,Hobbies And Activities,Sports,Low,,,
,181,Pets,F3,F,3,Place Categories,Veterinary Care Visitors,Veterinary Care ,,Pets,Pet Care,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Versace Visitors,Versace , ,Travel,Accommodation,High,,,
,228,Shopping and fashion,G,G,,Brand Visited,Versace Visitors,Versace , ,Shopping & Fashion,Shoppers,High,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,Volkswagen,Volkswagen,,Automotive,Vehicles,Low,,,
,117,Alcoholic beverages,E1,E,1,Brand Visited,Vintage Cellars,Vintage Cellars,,Beverage,Alcoholic,Low,,,
,62,Movies,B3,B,3,Brand Visited,Village Cinemas,Village Cinemas,,Entertainment,Movie,Low,,,
,95,Leisure,B6,B,6,App Category,Video Streaming Apps,Video Streaming Apps,,Entertainment,Leisure,Low,,,
,30,Entertainment,B,B,,Brand Visited,Video Players,Video Players,,Entertainment,Leisure,Low,,,
,95,Leisure,B6,B,6,App Category,Video Players,Video Players,,Entertainment,Leisure,Low,,,
,276,Technology,I,I,,Interests,Video Mp4 to Audio Mp3.,Video Mp4 to Audio Mp3., ,Technology,Electronic Devices,Low,,,
,50,Video games,B1.19,B,1.19,Interests,Video Gaming,Video Gaming,,Hobbies And Activities,Games,Low,,,
,295,Game consoles,I2.6,I,2.6,Interests,Video Gaming,Video Gaming,,Hobbies And Activities,Games,Low,,,
,50,Video games,B1.19,B,1.19,Interests,Video & Computer Games,Video & Computer Games,,Hobbies And Activities,Games,Low,,,
,116,Food and drink,E,E,,Brand Visited,Vegie Bar Visitors,Vegie Bar ,,Restaurants,Food & Drink,Low,,,
,229,Beauty,G1,G,1,Brand Visited,Victoria's Secret,Victoria's Secret,,Beauty,Personal Wellness,Low,,,
,231,Cosmetics,G1.2,G,1.2,Brand Visited,Victoria's Secret,Victoria's Secret,,Beauty,Cosmetics,Low,,,
,155,Restaurants,E6,E,6,Place Categories,Vegan And Vegetarian Restaurant Visitors,Vegan And Vegetarian Restaurant ,,Restaurants,Food & Drink,Low,,,
,162,Veganism,E8.1,E,8.1,Place Categories,Vegan And Vegetarian Restaurant Visitors,Vegan And Vegetarian Restaurant ,,Restaurants,Food & Drink,Low,,,
,354,Shopping malls,N6,N,6,Brand Visited,Variety Store Visitors,Variety Store ,,Shopping & Fashion,Shoppers,Low,,,
,228,Shopping and fashion,G,G,,Brand Visited,Vans Visitors,Vans ,,Shopping & Fashion,Shoppers,Low,,,
,232,Fragrances,G1.3,G,1.3,Brand Visited,Victoria's Secret,Victoria's Secret,,Shopping & Fashion,cosmetics,Low,,,
,240,Women's clothing,G2.4,G,2.4,Brand Visited,Victoria's Secret,Victoria's Secret,,Shopping & Fashion,Apparel,Low,,,
,241,Fashion design,G2.5,G,2.5,Brand Visited,Victoria's Secret,Victoria's Secret,,Shopping & Fashion,Apparel,Low,,,
,244,Handbags,G3.2,G,3.2,Brand Visited,Victoria's Secret,Victoria's Secret,,Shopping & Fashion,Apparel,Low,,,
N,351,Sales,N3.1,N,3.1,Brands Visited,Value Depot Visitors,Value Depot,,Wholesale food store,Food ,Low,,,
,240,Women's clothing,G2.4,G,2.4,Brand Visited,Valleygirl Visitors,Valleygirl ,,Shopping & Fashion,Apparel,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Vale Hotel Visitors,Vale Hotel , ,Travel,Accommodation,Low,,,
,117,Alcoholic beverages,E1,E,1,Brand Visited,Vaggs Wyndham Liquor Visitors,Vaggs Wyndham Liquor , ,Beverage,Alcoholic,Low,,,
,276,Technology,I,I,,Brand Visited,Utopia Records Visitors,Utopia Records , ,Technology,Electronic Devices,Low,,,
,352,Luxury goods,N4,N,4,Brand Visited,Victoria's Secret,Victoria's Secret,,Shopping & Fashion,Apparel,Low,,,
,347,Shopping,N,N,,Place Categories,Used Merchandise Store Visitors,Used Merchandise Store ,,Business,Property,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Place Categories,Used Car Showroom Visitors,Used Car Showroom ,,Automotive,Vehicles,Low,,,
,147,Food,E5,E,5,Brand Visited,USAFoods Visitors,USAFoods ,,Food,Shoppers,Low,,,
